¿Qué es un sumidero?,Un punto hacia el cual el fluido fluye radialmente de manera uniforme desde todas las direcciones.
¿Qué resulta de la superposición de una fuente y un sumidero de igual intensidad situados muy cerca?,Se genera un dipolo (doblete).
¿Cómo se forma un cuerpo de Rankine infinito?,Mediante la superposición de una corriente uniforme y una fuente puntual en el origen.
"En un flujo alrededor de un cilindro generado por un dipolo y una corriente uniforme, ¿cuál es la velocidad en los puntos de remanso?",$0$
¿Qué fenómeno natural puede modelarse combinando un sumidero y un torbellino en el origen?,El movimiento de un tornado o el desagüe de una bañera.
¿Qué establece la segunda ley de Newton para un flujo ideal en términos de presión y aceleración?,$-\frac{\partial P}{\partial s} = \rho \cdot a_s$
La aceleración total de una partícula de fluido se compone de la suma de la aceleración _____ y la aceleración _____.,convectiva / local
"En coordenadas polares para una fuente, la velocidad radial ($v_r$) es igual a $m/r$. ¿Qué representa $m$?","Representa la intensidad de la fuente, definida como $m = \frac{Q}{2\pi}$."
¿Qué es un punto de remanso?,Es un punto en el campo fluido donde la velocidad del fluido es localmente cero.
"En el estudio de un cilindro en un flujo uniforme, ¿a qué ángulos ($\theta$) se encuentran los puntos de remanso sobre la superficie?",$0^{\circ}$ y $180^{\circ}$
¿Cuál es la velocidad máxima en la superficie de un cilindro inmerso en un flujo uniforme $u$?,$2u$ (ocurre a $90^{\circ}$ y $270^{\circ}$).
¿Qué condición física se requiere para que exista la función de corriente ($\psi$)?,Solo requiere que se cumpla la ecuación de continuidad (flujo incompresible).
"Si un flujo posee función potencial ($\phi$), ¿es necesariamente irrotacional?","Sí, la existencia de la función potencial es una consecuencia directa de la irrotacionalidad del flujo."
¿Cómo se define el caudal volumétrico ($Q$) entre dos líneas de corriente $\psi_1$ y $\psi_2$?,Es igual a la diferencia entre los valores de las funciones de corriente: $Q = \psi_2 - \psi_1$.
"En una red de corriente, ¿qué indica una mayor proximidad entre líneas de corriente?",Indica un aumento en la velocidad del fluido en esa región.
¿Qué sucede con las líneas de corriente en un 'punto de separación'?,"Las líneas de corriente se alejan de la frontera sólida, dando lugar a la formación de remolinos o estelas turbulentas."
Fórmula: Aceleración convectiva tangencial ($a_{CT}$),$a_{CT} = V_s \frac{dV_s}{ds}$
"Para un vórtice real, ¿qué sucede en el punto de transición entre el núcleo forzado y la zona libre?",El radio de transición se encuentra donde se igualan las velocidades del modelo forzado y el modelo libre: $r = \frac{k}{\omega}$.
